,Open,High,Low,Close,Adj Close,Volume,Openrolling_mean_3,Openrolling_mean_5,Highrolling_mean_3,Highrolling_mean_5,Lowrolling_mean_3,Lowrolling_mean_5,Openrolling_stnd_3,Openrolling_stnd_5,Highrolling_stnd_3,Highrolling_stnd_5,Lowrolling_stnd_3,Lowrolling_stnd_5,compound,negative,positive,neutral
2007-10-08,5186.25,5249.299805,5024.75,5085.100098,5085.100098,0.0,5202.016601333334,5139.309960799999,5243.649902666667,5216.319922199999,5105.099934999999,5070.159961,13.765964848178037,88.03131449764118,9.144091473659538,71.71094620201981,72.19202459249085,70.91774068269754,-0.9889,0.106,0.087,0.807
2007-10-09,5062.649902,5348.700195,5000.950195,5327.25,5327.25,0.0,5152.349934666667,5147.5399412,5282.183268333333,5268.2000001999995,5063.400065000001,5070.0799804,78.45045138303261,75.26115231866044,57.606568851859535,46.10464512233418,88.36008896703719,71.01490381139618,-0.9988,0.145,0.078,0.777
2007-10-10,5328.149902,5454.700195,5328.149902,5441.450195,5441.450195,0.0,5192.349934666668,5199.3699216,5350.900065000001,5306.8700196,5117.950032333333,5128.8799804,132.85506916260806,94.44133817943064,102.71786419143682,94.5530310272121,182.42696233129124,130.570268585701,-0.9911,0.127,0.105,0.768
2007-10-11,5438.899902,5532.75,5424.25,5524.850098,5524.850098,0.0,5276.566568666667,5244.819921599999,5445.383463333334,5366.8,5251.116699,5188.520019400001,193.35626659958814,143.67669132490332,92.37793999026593,125.87975826621562,221.91499949662983,185.5027947769733,0.9282,0.09,0.103,0.807
2007-10-12,5525.299805,5549.299805,5402.600098,5428.25,5428.25,0.0,5430.783203,5308.2499022,5512.25,5426.95,5385.0,5236.140039,98.82525823501061,186.93543603361917,50.52186707789858,127.09820206452841,50.40962007504471,207.09909154083473,-0.9988,0.151,0.079,0.77
2007-10-15,5428.350098,5682.649902,5419.899902,5670.399902,5670.399902,0.0,5464.183268333333,5356.6699218,5588.233235666667,5513.620019399999,5415.583333333333,5315.1700194,53.190674762614016,178.60362425240984,82.18487800385142,123.36956538935316,11.45225471004633,179.87035923088683,-0.9977,0.125,0.083,0.792
2007-10-16,5670.649902,5708.350098,5578.450195,5668.049805,5668.049805,0.0,5541.433268333333,5478.2699218,5646.766601666666,5585.55,5466.983398333334,5430.6700194000005,121.95292220341345,128.25743088373483,85.38124710938432,106.92502413289924,96.9198425192525,91.23388534063965,-0.603,0.123,0.121,0.756
2007-10-17,5658.899902,5658.899902,5107.299805,5559.299805,5559.299805,0.0,5585.966634,5544.419921799999,5683.299967333333,5626.3899414,5368.549967333333,5386.5,136.6262966653031,116.202335615387,24.73150642016665,80.07945387297913,239.73586369584316,171.4624269029557,-0.9883,0.107,0.089,0.804
2007-10-18,5551.100098,5736.799805,5269.649902,5351.0,5351.0,0.0,5626.883300666667,5566.859961,5701.349934999999,5667.1999024,5318.466634,5355.5799804,65.89260944755833,100.50411010111367,39.418909591338775,72.0165093937586,239.3386251561964,176.80929005576385,-0.9839,0.104,0.086,0.811
2007-10-19,5360.350098,5390.850098,5101.75,5215.299805,5215.299805,0.0,5523.450032666667,5533.8700196,5595.516601666667,5635.509961000001,5159.566569,5295.409960800001,151.1833024900859,137.7331662767944,181.4755686427347,139.81508323170763,95.37533872640137,205.64697383958566,-0.9995,0.167,0.071,0.762
2007-10-22,5202.75,5247.399902,5070.899902,5184.0,5184.0,0.0,5371.400065333333,5488.75,5458.349934999999,5548.459961,5147.433268,5225.6099608,174.43773682233874,202.61332202772147,251.58544723487339,217.20483498063447,106.9607935477735,211.96080559853272,0.939,0.093,0.113,0.794
2007-10-23,5185.299805,5488.5,5176.850098,5473.700195,5473.700195,0.0,5249.466634333333,5391.6799806,5375.583333333333,5504.4899414,5116.5,5145.2899414,96.42346297669928,209.8154762039631,121.2729149127807,198.16362509992854,54.493420548806014,79.58375809139174,-0.995,0.116,0.089,0.795
2007-10-24,5477.600098,5577.899902,5419.399902,5496.149902,5496.149902,0.0,5288.549967666667,5355.420019800001,5437.933268,5488.2899414,5222.383300666667,5207.709960800001,163.95453992088392,162.39765439631745,170.95411164657318,185.27660108185563,178.6561415367875,141.019523590493,-0.3895,0.099,0.106,0.795
2007-10-25,5499.049805,5605.950195,5469.299805,5568.950195,5568.950195,0.0,5387.316569333333,5345.009961199999,5557.450032333334,5462.1200194,5355.183268333333,5247.6399414,175.28006813775139,147.72353249031258,61.3374677780269,146.60502593454643,156.4434076933441,184.50386015873605,-0.9976,0.14,0.103,0.756
2007-10-26,5564.25,5716.899902,5513.350098,5702.299805,5702.299805,0.0,5513.633301000001,5385.7899416,5633.583333,5527.329980199999,5467.349935000001,5329.959961,45.12826327075708,178.04831438020312,73.50471234412774,176.45383706560145,47.00543933283599,194.68036742175488,-0.9702,0.118,0.108,0.774
2007-10-29,5708.899902,5922.5,5708.899902,5905.899902,5905.899902,0.0,5590.733235666667,5487.0199219999995,5748.450032333334,5662.3499998,5563.849934999999,5457.559961,107.40245402808625,191.3528747134223,160.61601042367874,166.72604315496565,127.53323791613492,191.49174039229445,-0.9973,0.118,0.078,0.805
2007-10-30,5917.549805,5976.0,5833.899902,5868.75,5868.75,0.0,5730.233235666667,5633.469922,5871.7999673333325,5759.8499998,5685.383300666667,5588.9699218,177.61340432876875,182.7201612424459,136.78846873987473,181.5292979517662,161.56366273025148,175.47591114808148,-0.9866,0.106,0.095,0.799
2007-10-31,5868.899902,5952.25,5861.299805,5900.649902,5900.649902,0.0,5831.783203,5711.7298828,5950.25,5834.720019400001,5801.366536333334,5677.3499024,109.16470360865132,183.06788046021563,26.806016115716943,164.085242231326,81.2419074111701,179.9455823210651,-0.997,0.132,0.094,0.775
2007-11-01,5903.799805,6011.950195,5837.200195,5866.450195,5866.450195,0.0,5896.749837333333,5792.6798828,5980.066731666667,5915.9200194,5844.1333006666655,5750.929980399999,25.079469662411913,152.4376285941916,30.057146414653758,115.97798224194396,14.957928892176184,145.5324568706191,-0.9972,0.13,0.1,0.77
2007-11-02,5854.850098,5944.75,5714.25,5932.399902,5932.399902,0.0,5875.849935000001,5850.7999024,5969.650065000001,5961.490038999999,5804.25,5791.1099608,25.204080480491005,83.28289643761417,36.824424618840276,34.06830154048945,78.86823061626319,73.39593028128141,-0.9778,0.098,0.09,0.812
2007-11-05,5931.899902,5948.549805,5819.600098,5847.299805,5847.299805,0.0,5896.849934999999,5895.3999023999995,5968.416666666667,5966.7,5790.350097666666,5813.25,38.9922247873471,32.55749981860337,37.74898271963553,28.080708351377293,66.4895443078199,57.33702511969583,-0.9992,0.148,0.08,0.772
2007-11-06,5847.100098,5957.200195,5759.950195,5786.5,5786.5,0.0,5877.9500326666675,5881.309961,5950.166666666667,5962.940038999999,5764.600097666666,5798.4600586,46.88237329538256,35.6706597022159,6.38063634110113,27.781173874995307,52.828751483083714,60.147478595652096,-0.999,0.123,0.051,0.827
2007-11-07,5782.399902,5861.350098,5744.299805,5782.350098,5782.350098,0.0,5853.799967333333,5864.009961,5922.366699333333,5944.7600586,5774.616699333333,5775.0600586,74.9748536964739,57.49418244780354,53.01864332937383,53.94639753804489,39.73491277822536,51.76286329999933,-0.999,0.139,0.083,0.778
2007-11-08,5779.299805,5780.799805,5646.75,5698.75,5698.75,0.0,5802.933268333333,5839.109961,5866.450032666667,5898.5299806,5717.0,5736.9700196,38.28099113725549,62.679448197486465,88.31070941985232,76.35968340856753,61.33946977101919,63.3746702142791,-0.9942,0.101,0.077,0.822
2007-11-12,5660.600098,5660.600098,5477.5,5617.100098,5617.100098,0.0,5740.766601666666,5800.259961,5767.5833336666665,5841.7000002,5622.849934999999,5689.620019600001,69.44353017345004,99.73246673083214,101.02547679112999,124.14639592072174,134.99608815541342,133.85045253908754,-0.9871,0.111,0.087,0.803
2007-11-13,5612.350098,5758.850098,5591.600098,5695.399902,5695.399902,0.0,5684.0833336666665,5736.3500002,5733.416667,5803.7600588,5571.9500326666675,5644.0200196,85.91651724129737,96.62412584310255,64.00888180590164,111.69080112300308,86.31908494478282,116.16804512136049,-0.9995,0.157,0.071,0.772
2007-11-14,5703.950195,5950.200195,5700.049805,5937.899902,5937.899902,0.0,5658.966797,5707.720019599999,5789.883463666668,5802.3600588,5589.716634333334,5632.039941599999,45.82188556482061,74.21366290697743,147.2730674089793,109.30505285117525,111.28685682920384,103.63635796444521,-0.9978,0.121,0.067,0.811
